IVSum,ability,altAbility,attack,attackEV,attackIV,date,defense,defenseEV,defenseIV,experience,friendship,hasSpecies,heldItem,hiddenPowerType,hp,hpEV,hpIV,isBadEgg,isEgg,itemName,language,level,magicWord,mail,markings,maxHP,metGame,metLevel,metLocation,metLocationName,move_1,move_1_pp,move_2,move_2_pp,move_3,move_3_pp,move_4,move_4_pp,name,nature,otGender,otId,personality,pokeball,pokerus,pokerusStatus,ppBonuses,shiny,shinyValue,spAttack,spAttackEV,spAttackIV,spDefense,spDefenseEV,spDefenseIV,species,speed,speedEV,speedIV,status,time,type_1,type_2,zeroPadNumber
124,Pickup,0,8,0,26,2024-03-28,9,0,22,64,70,1,0,Water,18,0,26,0,0,None,2,4,2916918134,301994751,0,18,3,4,17,Route 102,33,35,45,40,0,0,0,0,Zigzagoon,Hardy,0,2192337443,795920725,4,0,none,0,False,3754,8,0,16,8,0,15,289,10,0,19,0,19:34:42,Normal,None,263
84,Pickup,0,7,0,28,2024-03-28,7,0,7,27,70,1,0,Dragon,16,0,28,0,0,None,2,3,1873917275,268439807,0,16,3,3,17,Route 102,33,35,45,40,0,0,0,0,Zigzagoon,Rash,0,2192337443,3978157944,4,0,none,0,False,56042,6,0,5,6,0,5,289,8,0,11,0,19:34:54,Normal,None,263
107,Run Away,0,8,0,17,2024-03-28,7,0,24,27,70,1,0,Ghost,15,0,2,0,0,None,2,3,4041871187,251662335,0,15,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Serious,0,2192337443,1917216112,4,0,none,0,False,65465,7,0,15,7,0,30,287,7,0,19,0,19:35:06,Dark,None,261
86,Shield Dust,0,8,0,16,2024-03-28,6,0,21,27,70,1,0,Psychic,15,0,3,0,0,None,2,3,2038173023,251662335,0,15,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Gentle,0,2192337443,4224739196,4,0,none,0,False,29731,6,0,3,7,0,27,291,6,0,16,0,19:35:20,Bug,None,265
104,Synchronize,0,7,0,6,2024-03-28,8,0,28,80,35,1,0,Fighting,17,0,30,0,0,None,2,4,1720842283,285217279,0,17,3,4,17,Route 102,45,40,0,0,0,0,0,0,Ralts,Adamant,0,2192337443,3829240328,4,0,none,0,False,40634,8,0,18,8,0,20,393,8,0,2,0,19:35:33,Psychic,None,280
60,Run Away,0,9,0,1,2024-03-28,8,0,11,64,70,1,0,Water,17,0,7,0,0,None,2,4,3417437063,285217279,0,17,3,4,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Rash,0,2192337443,1226676644,4,0,none,0,False,14390,7,0,0,7,0,15,287,8,0,26,0,19:35:45,Dark,None,261
101,Pickup,0,7,0,12,2024-03-28,7,0,14,64,70,1,0,Fighting,17,0,11,0,0,None,2,4,4192676289,285217279,0,17,3,4,17,Route 102,33,35,45,40,0,0,0,0,Zigzagoon,Gentle,0,2192337443,2068530146,4,0,none,0,False,53286,8,0,26,9,0,26,289,10,0,12,0,19:35:57,Normal,None,263
103,Pickup,0,5,0,5,2024-03-28,8,0,25,27,70,1,0,Dragon,15,0,22,0,0,None,2,3,139958750,251662335,0,15,3,3,17,Route 102,33,35,45,40,0,0,0,0,Zigzagoon,Bold,0,2192337443,2331767805,4,0,none,0,False,37257,7,0,9,7,0,11,289,9,0,31,0,19:36:10,Normal,None,263
122,Shield Dust,0,7,0,13,2024-03-28,7,0,28,27,70,1,0,Ice,16,0,26,0,0,None,2,3,4198242058,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Calm,0,2192337443,2022735145,4,0,none,0,False,60726,6,0,15,7,0,31,291,6,0,9,0,19:36:22,Bug,None,265
110,Rain Dish,1,6,0,5,2024-03-28,7,0,18,57,70,1,0,Ghost,16,0,31,0,0,None,2,3,1469484590,268439807,0,16,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Brave,0,2192337443,3577406477,4,0,none,0,False,55736,8,0,25,8,0,18,296,6,0,13,0,19:36:35,Water,Grass,270
