IVSum,ability,altAbility,attack,attackEV,attackIV,date,defense,defenseEV,defenseIV,experience,friendship,hasSpecies,heldItem,hiddenPowerType,hp,hpEV,hpIV,isBadEgg,isEgg,itemName,language,level,magicWord,mail,markings,maxHP,metGame,metLevel,metLocation,metLocationName,move_1,move_1_pp,move_2,move_2_pp,move_3,move_3_pp,move_4,move_4_pp,name,nature,otGender,otId,personality,pokeball,pokerus,pokerusStatus,ppBonuses,shiny,shinyValue,spAttack,spAttackEV,spAttackIV,spDefense,spDefenseEV,spDefenseIV,species,speed,speedEV,speedIV,status,time,type_1,type_2,zeroPadNumber
84,Shield Dust,0,9,0,21,2023-10-05,7,0,0,64,70,1,0,Ice,18,0,28,0,0,None,2,4,3908582381,301994751,0,18,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Serious,0,2192337443,1783910862,4,0,none,0,False,54037,6,0,3,8,0,15,291,7,0,17,0,07:38:51,Bug,None,265
55,Run Away,0,9,0,3,2023-10-05,7,0,4,64,70,1,0,Rock,17,0,17,0,0,None,2,4,1990916238,285217279,0,17,3,4,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Rash,0,2192337443,4094071469,4,0,none,0,False,36388,7,0,1,6,0,8,287,8,0,22,0,07:39:04,Dark,None,261
88,Shield Dust,0,8,0,12,2023-10-05,7,0,8,27,70,1,0,Electric,16,0,20,0,0,None,2,3,1935151528,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Quiet,0,2192337443,4059331467,4,0,none,0,False,25328,6,0,1,7,0,21,291,5,0,26,0,07:39:17,Bug,None,265
86,Shield Dust,0,9,0,11,2023-10-05,7,0,16,64,70,1,0,Rock,18,0,14,0,0,None,2,4,37452874,301994751,0,18,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Gentle,0,2192337443,2157385321,4,0,none,0,False,32369,7,0,15,7,0,0,291,7,0,30,0,07:39:30,Bug,None,265
80,Shield Dust,0,8,0,14,2023-10-05,7,0,26,27,70,1,0,Steel,16,0,19,0,0,None,2,3,3558014298,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Bashful,0,2192337443,1455331193,4,0,none,0,False,10568,6,0,12,6,0,5,291,6,0,4,0,07:39:42,Bug,None,265
92,Run Away,0,7,0,0,2023-10-05,7,0,17,27,70,1,0,Grass,15,0,23,0,0,None,2,3,1027393530,251662335,0,15,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Calm,0,2192337443,3213929945,4,0,none,0,False,64198,7,0,18,7,0,13,287,7,0,21,0,07:39:55,Dark,None,261
108,Pickup,0,6,0,6,2023-10-05,8,0,14,64,70,1,0,Rock,18,0,29,0,0,None,2,4,2133532471,301994751,0,18,3,4,17,Route 102,33,35,45,40,0,0,0,0,Zigzagoon,Bold,0,2192337443,4253512980,4,0,none,0,False,24604,8,0,17,9,0,18,289,10,0,24,0,07:40:08,Normal,None,263
107,Shield Dust,0,7,0,19,2023-10-05,7,0,6,27,70,1,0,Ghost,15,0,8,0,0,None,2,3,3623405963,251662335,0,15,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Bold,0,2192337443,1431610280,4,0,none,0,False,7795,6,0,23,7,0,28,291,6,0,23,0,07:40:21,Bug,None,265
92,Run Away,0,9,0,28,2023-10-05,7,0,31,27,70,1,0,Grass,15,0,9,0,0,None,2,3,1066624134,251662335,0,15,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Mild,0,2192337443,3175026341,4,0,none,0,False,23317,6,0,4,7,0,17,287,7,0,3,0,07:40:37,Dark,None,261
103,Run Away,0,8,0,16,2023-10-05,7,0,5,27,70,1,0,Fighting,15,0,16,0,0,None,2,3,4194842212,251662335,0,15,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Sassy,0,2192337443,2024037447,4,0,none,0,False,52332,7,0,26,7,0,30,287,6,0,10,0,07:40:49,Dark,None,261
