IVSum,ability,altAbility,attack,attackEV,attackIV,date,defense,defenseEV,defenseIV,experience,friendship,hasSpecies,heldItem,hiddenPowerType,hp,hpEV,hpIV,isBadEgg,isEgg,itemName,language,level,magicWord,mail,markings,maxHP,metGame,metLevel,metLocation,metLocationName,move_1,move_1_pp,move_2,move_2_pp,move_3,move_3_pp,move_4,move_4_pp,name,nature,otGender,otId,personality,pokeball,pokerus,pokerusStatus,ppBonuses,shiny,shinyValue,spAttack,spAttackEV,spAttackIV,spDefense,spDefenseEV,spDefenseIV,species,speed,speedEV,speedIV,status,time,type_1,type_2,zeroPadNumber
118,Run Away,0,10,0,24,2023-09-27,8,0,17,64,70,1,0,Grass,17,0,25,0,0,None,2,4,406430522,285217279,0,17,3,4,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Lax,0,2192337443,2593507609,4,0,none,0,False,47875,8,0,24,6,0,7,287,8,0,21,0,11:28:21,Dark,None,261
92,Run Away,0,8,0,11,2023-09-27,7,0,27,27,70,1,0,Flying,15,0,10,0,0,None,2,3,1346070178,251662335,0,15,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Sassy,0,2192337443,3533114497,4,0,none,0,False,13977,6,0,6,7,0,14,287,6,0,24,0,11:28:33,Dark,None,261
110,Shield Dust,0,8,0,21,2023-09-27,7,0,16,27,70,1,0,Ghost,16,0,11,0,0,None,2,3,2850557061,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Naive,0,2192337443,725903014,4,0,none,0,False,42349,6,0,5,6,0,28,291,7,0,29,0,11:28:48,Bug,None,265
94,Shield Dust,0,8,0,29,2023-09-27,7,0,29,27,70,1,0,Grass,16,0,18,0,0,None,2,3,825994157,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Hardy,0,2192337443,3013067150,4,0,none,0,False,39574,6,0,6,6,0,3,291,6,0,9,0,11:29:01,Bug,None,265
89,Shield Dust,0,9,0,28,2023-09-27,8,0,20,64,70,1,0,Ground,17,0,0,0,0,None,2,4,1615256127,285217279,0,17,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Quirky,0,2192337443,3807031324,4,0,none,0,False,47737,7,0,15,8,0,26,291,6,0,0,0,11:29:13,Bug,None,265
100,Rain Dish,1,7,0,30,2023-09-27,6,0,18,57,70,1,0,Steel,15,0,19,0,0,None,2,3,3670314832,251662335,0,15,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Mild,0,2192337443,1483269491,4,0,none,0,False,21908,7,0,10,8,0,3,296,7,0,20,0,11:29:28,Water,Grass,270
47,Shield Dust,0,9,0,10,2023-09-27,7,0,1,64,70,1,0,Dragon,17,0,3,0,0,None,2,4,2410688477,285217279,0,17,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Lax,0,2192337443,219956734,4,0,none,0,False,41069,7,0,15,7,0,17,291,6,0,1,0,11:29:40,Bug,None,265
118,Rain Dish,1,6,0,2,2023-09-27,7,0,18,57,70,1,0,Bug,15,0,18,0,0,None,2,3,802623852,251662335,0,15,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Jolly,0,2192337443,2910550863,4,0,none,0,False,16059,7,0,25,8,0,30,296,7,0,25,0,11:29:53,Water,Grass,270
84,Rain Dish,1,8,0,21,2023-09-27,7,0,16,96,70,1,0,Psychic,17,0,7,0,0,None,2,4,2201498280,285217279,0,17,3,4,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Hasty,0,2192337443,26499211,4,0,none,0,False,45456,8,0,7,10,0,29,296,7,0,4,0,11:30:07,Water,Grass,270
112,Shield Dust,0,8,0,31,2023-09-27,7,0,25,27,70,1,0,Bug,16,0,13,0,0,None,2,3,702261118,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Bashful,0,2192337443,2876755293,4,0,none,0,False,36517,6,0,9,7,0,16,291,6,0,18,0,11:30:19,Bug,None,265
43,Swift Swim,0,6,0,3,2023-09-27,5,0,6,57,70,1,0,Fire,15,0,5,0,0,None,2,3,1748891203,251662335,0,15,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Gentle,0,2192337443,3935411296,4,0,none,0,False,40574,7,0,12,8,0,13,296,6,0,4,0,11:30:31,Water,Grass,270
104,Pickup,0,8,0,23,2023-09-27,9,0,28,64,70,1,0,Ice,17,0,6,0,0,None,2,4,2464354254,285217279,0,17,3,4,17,Route 102,33,35,45,40,0,0,0,0,Zigzagoon,Bashful,0,2192337443,273638893,4,0,none,0,False,40237,8,0,23,8,0,9,289,10,0,15,0,11:30:44,Normal,None,263
89,Rain Dish,1,7,0,11,2023-09-27,7,0,27,57,70,1,0,Ground,15,0,10,0,0,None,2,3,4046283852,251662335,0,15,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Naughty,0,2192337443,1937837679,4,0,none,0,False,38241,7,0,10,7,0,4,296,7,0,27,0,11:30:57,Water,Grass,270
74,Shield Dust,0,8,0,11,2023-09-27,6,0,11,27,70,1,0,Bug,16,0,17,0,0,None,2,3,4030215963,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Mild,0,2192337443,1922325816,4,0,none,0,False,50979,6,0,1,6,0,6,291,7,0,28,0,11:31:10,Bug,None,265
92,Shield Dust,0,7,0,20,2023-09-27,7,0,1,27,70,1,0,Grass,16,0,17,0,0,None,2,3,2378545097,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Bold,0,2192337443,258596330,4,0,none,0,False,14860,6,0,24,7,0,13,291,6,0,17,0,11:31:23,Bug,None,265
111,Swift Swim,0,7,0,6,2023-09-27,8,0,28,96,70,1,0,Electric,17,0,13,0,0,None,2,4,2442744173,285217279,0,17,3,4,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Rash,0,2192337443,322255694,4,0,none,0,False,49396,9,0,27,8,0,21,296,8,0,16,0,11:31:36,Water,Grass,270
31,Shield Dust,0,8,0,8,2023-09-27,8,0,8,64,70,1,0,Fighting,18,0,11,0,0,None,2,4,1920294632,301994751,0,18,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Quiet,0,2192337443,4040766667,4,0,none,0,False,11421,6,0,4,7,0,0,291,5,0,0,0,11:31:51,Bug,None,265
73,Run Away,0,9,0,24,2023-09-27,7,0,5,27,70,1,0,Ground,15,0,23,0,0,None,2,3,302792703,251662335,0,15,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Rash,0,2192337443,2426426844,4,0,none,0,False,11763,6,0,2,6,0,12,287,7,0,7,0,11:32:04,Dark,None,261
119,Run Away,0,9,0,24,2023-09-27,7,0,26,27,70,1,0,Water,16,0,31,0,0,None,2,3,1189826372,268439807,0,16,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Quiet,0,2192337443,3292996967,4,0,none,0,False,2479,7,0,8,7,0,21,287,6,0,9,0,11:32:17,Dark,None,261
93,Run Away,0,8,0,28,2023-09-27,7,0,26,27,70,1,135,Water,15,0,13,0,0,Pecha Berry,2,3,3942756414,251662335,0,15,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Calm,0,2192337443,1773001245,4,0,none,0,False,23359,6,0,0,6,0,3,287,7,0,23,0,11:32:29,Dark,None,261
137,Run Away,0,9,0,27,2023-09-27,7,0,14,27,70,1,0,Grass,15,0,20,0,0,None,2,3,1408254050,251662335,0,15,3,3,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Careful,0,2192337443,3512478273,4,0,none,0,False,5010,6,0,22,7,0,23,287,8,0,31,0,11:32:41,Dark,None,261
99,Run Away,0,9,0,4,2023-09-27,8,0,6,64,70,1,135,Steel,17,0,14,0,0,Pecha Berry,2,4,700524231,285217279,0,17,3,4,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Rash,0,2192337443,2876067044,4,0,none,0,False,3846,8,0,28,7,0,21,287,8,0,26,0,11:32:53,Dark,None,261
84,Pickup,0,6,0,1,2023-09-27,7,0,27,27,70,1,0,Steel,15,0,8,0,0,None,2,3,2909207272,251662335,0,15,3,3,17,Route 102,33,35,45,40,0,0,0,0,Zigzagoon,Mild,0,2192337443,801804491,4,0,none,0,False,22414,6,0,3,8,0,30,289,9,0,15,0,11:33:06,Normal,None,263
75,Shield Dust,0,7,0,8,2023-09-27,7,0,7,27,70,1,0,Ground,15,0,7,0,0,None,2,3,1644440301,251662335,0,15,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Sassy,0,2192337443,3769123022,4,0,none,0,False,18665,6,0,20,7,0,18,291,5,0,15,0,11:33:19,Bug,None,265
