IVSum,ability,altAbility,attack,attackEV,attackIV,date,defense,defenseEV,defenseIV,experience,friendship,hasSpecies,heldItem,hiddenPowerType,hp,hpEV,hpIV,isBadEgg,isEgg,itemName,language,level,magicWord,mail,markings,maxHP,metGame,metLevel,metLocation,metLocationName,move_1,move_1_pp,move_2,move_2_pp,move_3,move_3_pp,move_4,move_4_pp,name,nature,otGender,otId,personality,pokeball,pokerus,pokerusStatus,ppBonuses,shiny,shinyValue,spAttack,spAttackEV,spAttackIV,spDefense,spDefenseEV,spDefenseIV,species,speed,speedEV,speedIV,status,time,type_1,type_2,zeroPadNumber
110,Shield Dust,0,9,0,10,2023-10-29,8,0,24,64,70,1,0,Bug,18,0,18,0,0,None,2,4,1114726333,301994751,0,18,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Naughty,0,2192337443,3235722654,4,0,none,0,False,7628,7,0,27,6,0,10,291,7,0,21,0,08:39:28,Bug,None,265
125,Shield Dust,0,9,0,29,2023-10-29,8,0,5,64,70,1,0,Ice,17,0,7,0,0,None,2,4,4051096280,285217279,0,17,3,4,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Bashful,0,2192337443,1943714043,4,0,none,0,False,9134,7,0,29,8,0,25,291,7,0,30,0,08:39:40,Bug,None,265
111,Rain Dish,1,7,0,6,2023-10-29,8,0,25,96,70,1,0,Fighting,18,0,30,0,0,None,2,4,1143755898,301994751,0,18,3,4,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Serious,0,2192337443,3330293337,4,0,none,0,False,4182,8,0,4,9,0,16,296,8,0,30,0,08:39:54,Water,Grass,270
66,Run Away,0,11,0,28,2023-10-29,6,0,4,64,70,1,0,Steel,17,0,7,0,0,None,2,4,1026519593,285217279,0,17,3,4,17,Route 102,33,35,0,0,0,0,0,0,Poochyena,Lonely,0,2192337443,3213039626,4,0,none,0,False,20230,7,0,2,7,0,13,287,8,0,12,0,08:40:06,Dark,None,261
42,Shield Dust,0,7,0,7,2023-10-29,7,0,13,27,70,1,0,Grass,15,0,0,0,0,None,2,3,2109660626,251662335,0,15,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Quiet,0,2192337443,4279416817,4,0,none,0,False,41068,6,0,6,6,0,5,291,5,0,11,0,08:40:19,Bug,None,265
92,Shield Dust,0,8,0,16,2023-10-29,7,0,25,27,70,1,0,Flying,15,0,3,0,0,None,2,3,1496442106,251662335,0,15,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Hardy,0,2192337443,3684536025,4,0,none,0,False,48587,6,0,14,7,0,28,291,6,0,6,0,08:40:31,Bug,None,265
87,Pickup,0,7,0,10,2023-10-29,8,0,15,64,70,1,0,Bug,18,0,27,0,0,None,2,4,3029250032,301994751,0,18,3,4,17,Route 102,33,35,45,40,0,0,0,0,Zigzagoon,Docile,0,2192337443,908248531,4,0,none,0,False,7038,7,0,13,8,0,6,289,10,0,16,0,08:40:47,Normal,None,263
83,Swift Swim,0,7,0,11,2023-10-29,7,0,27,57,70,1,0,Electric,15,0,9,0,0,None,2,3,1660132775,251662335,0,15,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Bashful,0,2192337443,3764385668,4,0,none,0,False,65364,7,0,0,8,0,31,296,6,0,5,0,08:41:02,Water,Grass,270
101,Shield Dust,0,8,0,15,2023-10-29,7,0,7,27,70,1,0,Ground,16,0,30,0,0,None,2,3,2399411988,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Jolly,0,2192337443,229143863,4,0,none,0,False,36880,6,0,30,6,0,4,291,6,0,15,0,08:41:14,Bug,None,265
82,Shield Dust,0,7,0,4,2023-10-29,7,0,7,27,70,1,0,Ghost,16,0,25,0,0,None,2,3,3889073574,268439807,0,16,3,3,17,Route 102,33,35,81,40,0,0,0,0,Wurmple,Jolly,0,2192337443,1700980613,4,0,none,0,False,27240,5,0,21,7,0,10,291,6,0,15,0,08:41:27,Bug,None,265
103,Swift Swim,0,7,0,9,2023-10-29,7,0,20,57,70,1,0,Fire,16,0,23,0,0,None,2,3,3137367353,268439807,0,16,3,3,17,Route 102,310,15,45,40,0,0,0,0,Lotad,Sassy,0,2192337443,967575322,4,0,none,0,False,54841,8,0,26,8,0,23,296,5,0,2,0,08:41:40,Water,Grass,270
